id;UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Dato de contacto - Empresa;SAT - Servicio de Asistencia Técnica;Dato de contacto - SAT;EAT - Equipo de Asistencia Técnica;Dato de contacto - EAT;Estado de Obra;Porcentaje de avance;Licitación Nº;Contrato N°;Origen del terreno;Calificación provisional;Fecha de inicio de obra;Fecha de entrega de obra;Observaciones
206;21J;6975985;611749;Itapúa;Encarnación;;Edificio Don Julio;FONAVIS;74;;;INGENIERIA Y PROYECTOS PARAGUAY - IPP;Ing. Manuel Lombardo. ma-lombardo@hotmail.com ;No corresponde;;Culminada;100%;No corresponde;;Propiedad privada (compra de terreno);2/12/11;;;
207;21J;7116217;483825;Paraguarí;Quiindy;;Curucau;FONAVIS;13;;;EMPRENDIMIENTOS INMOBILIARIOS;Cristhian Manuel Araujo.  info@geo.com.py;No corresponde;;En ejecución;S/D;No corresponde;;INDERT;11/3/11;;;
208;21J;7226818;490619;Cordillera;Arroyos y Esteros;;Comisión Vecinal San Francisco;FONAVIS;60;;;ITAPUA S.R.L.;ing. Justo Medina,Ing. Maria De Medina. jmedinacardozo@gmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);15/11/12;;;
209;21J;7048892;486453;Misiones;San Juan Bautista;;Asociación De Educadores Rurales Sanjuaninos;FONAVIS;40;;;COTEP S.A.;Julio Cesar Roman. tareascotepsa@gmail.com ;No corresponde;;Culminada;100%;No corresponde;;Propiedad privada (compra de terreno);31/8/12;;;
210;21J;7184353;559032;Caaguazú;Coronel Oviedo;;Virgen Del Carmen;FONAVIS;25;;;VERONICA OJEDA CASTELLI;Abog. Veronica Ojeda. vojedacastelli@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;;;;
211;21K;7539600;384342;Alto Paraguay;Puerto Casado;;Maskoy Recoporavera  2da. Etapa (Castilla, Ma. Auxiliadora, San Isidro Y Machete Vaina);FONAVIS;70;;;CODES;Arq. Alfonso Olmedo. (021) 301-015.;No corresponde;;En ejecución;50%;No corresponde;;Terreno comunitario;;;;
212;21J;7178885;733234;Alto Paraná;Ciudad del Este;;Jardín Del Este - Km 8;FONAVIS;6;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad de los Beneficiarios;18/10/13;;;
213;21K;7467841;194135;Boquerón;Mariscal Estigarribia;;Casuarina II - Techo Y Agua;FONAVIS;22;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Terreno comunitario;12/6/13;;;
214;21J;7187704;554541;Caaguazú;Coronel Oviedo;;31 De Julio Etapa I;FONAVIS;40;;;ACG CONSULTORA INTEGRAL;Abog. Federico Cabral. (021) 528 973;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;1/8/13;;;
215;21J;7187988;553942;Caaguazú;Coronel Oviedo;;31 De Julio Etapa II;FONAVIS;35;;;ACG CONSULTORA INTEGRAL;Abog. Federico Cabral. (021) 528 973;No corresponde;;En ejecución;92%;No corresponde;;Propiedad de la SAS;1/8/13;;;
216;21J;7232126;646550;Caaguazú;Nueva Toledo;;Oga'i Yvu;FONAVIS;26;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Terreno comunitario;5/6/13;;;
217;21J;7226329;631229;Caaguazú;Raúl Arsenio Oviedo;;Oga'i Y'akareta 2da. Etapa;FONAVIS;25;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Terreno comunitario;18/6/13;;;
218;21J;7227960;641369;Caaguazú;Raúl Arsenio Oviedo;;Oga'i Santa Teresa 2da. Etapa;FONAVIS;44;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Terreno comunitario;18/6/13;;;
219;21J;7179868;635548;Caaguazú;J. Eulogio Estigarribia;;San Juan Yhovy;FONAVIS;61;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Terreno comunitario;;;;
220;21J;7184777;599487;Caaguazú;Caaguazú;;La Conquista;FONAVIS;25;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad privada (compra de terreno);;;;
221;21J;7182772;549197;Caaguazú;Coronel Oviedo;;Territorio Social Villa Elsa;FONAVIS;37;;;FREDDY DIOSNEL ROLON;Freddy Diosnel Rolon. 0981 458 666. fredydiosnelrolon@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;17/7/14;;;
222;21J;7189607;557800;Caaguazú;Coronel Oviedo;;San Jorge 2da. Etapa;FONAVIS;58;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;60%;No corresponde;;Propiedad privada (compra de terreno);8/8/12;;;
223;21J;7204705;574137;Caaguazú;Coronel Oviedo;;Villa Azucena;FONAVIS;16;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de los Beneficiarios;17/6/13;;;
224;21J;7228775;608739;Caaguazú;Yhú;;Virgen Del Rosario;FONAVIS;40;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;60%;No corresponde;;Propiedad de la Municipalidad;12/12/12;;;
225;21J;7161500;624905;Caaguazú;Repatriación;;Ypau Señorita;FONAVIS;25;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;60%;No corresponde;;Terreno comunitario;20/6/13;;;
226;21J;7232421;595340;Caaguazú;San Joaquín;;San Joaquín II Etapa;FONAVIS;24;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;50%;No corresponde;;Propiedad de la Municipalidad;15/7/13;;;
227;21J;7187599;545512;Caaguazú;Nueva Londres;;Comisión Vecinal Nueva Londres;FONAVIS;70;;;NATANAEL CADOGAN DUARTE;Natanael Cadogan Duarte. (021) 203 433;No corresponde;;En ejecución;10%;No corresponde;;Propiedad privada (compra de terreno);31/7/13;;;
228;21J;7173748;600947;Caaguazú;Repatriación;;La Paloma I;FONAVIS;24;;;NATANAEL CADOGAN DUARTE;Natanael Cadogan Duarte. (021) 203 433;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);9/8/13;;;
229;21J;7187052;554354;Caaguazú;Coronel Oviedo;;Asentamiento Caraguatay-Mi;FONAVIS;20;;;RIGOBERTO GONZALEZ GIMENEZ;Rigoberto Gonzalez Gimenez. Rigoberto.consul@gmail.com;No corresponde;;En ejecución;80%;No corresponde;;Propiedad de la SAS;19/12/13;;;
230;21J;7184742;554622;Caaguazú;Coronel Oviedo;;Asentamiento Virgen De Fátima;FONAVIS;23;;;RIGOBERTO GONZALEZ GIMENEZ;Rigoberto Gonzalez Gimenez. Rigoberto.consul@gmail.com;No corresponde;;En ejecución;60%;No corresponde;;Propiedad de la SAS;16/1/14;;;
231;21J;7185577;558258;Caaguazú;Coronel Oviedo;;Asentamiento Bonanza;FONAVIS;20;;;RIGOBERTO GONZALEZ GIMENEZ;Rigoberto Gonzalez Gimenez. Rigoberto.consul@gmail.com;No corresponde;;En ejecución;50%;No corresponde;;Propiedad de la SAS;11/10/13;;;
232;21J;7185867;557505;Caaguazú;Coronel Oviedo;;La Gloria I - 2da Etapa;FONAVIS;31;;;RIGOBERTO GONZALEZ GIMENEZ;Rigoberto Gonzalez Gimenez. Rigoberto.consul@gmail.com;No corresponde;;En ejecución;25%;No corresponde;;Propiedad de la SAS;26/7/13;;;
233;21J;7182653;553532;Caaguazú;Coronel Oviedo;;Asociación De Trabajadores De Medios De Comunicación -  Atrameco;FONAVIS;49;;;VERONICA OJEDA CASTELLI;Abog. Veronica Ojeda. vojedacastelli@gmail.com;No corresponde;;En ejecución;60%;No corresponde;;Propiedad de la SAS;16/12/13;;;
234;21J;7184345;558978;Caaguazú;Coronel Oviedo;;Sagrado Corazón De Jesús 2da. Fase;FONAVIS;15;;;VERONICA OJEDA CASTELLI;Abog. Veronica Ojeda. vojedacastelli@gmail.com;No corresponde;;En ejecución;80%;No corresponde;;Propiedad de la SAS;13/12/13;;;
235;21J;7096577;577053;Caazapá;Colonia Mayor Nicolás Arguello;;Pro-Casa Col. Nicolás Arguello- Santa Librada;FONAVIS;28;;;RIGOBERTO GONZALEZ GIMENEZ;Rigoberto Gonzalez Gimenez. Rigoberto.consul@gmail.com;No corresponde;;En ejecución;10%;No corresponde;;Propiedad privada (compra de terreno);6/2/14;;;
236;21K;7429853;525210;Concepción;Horqueta;;Asentamiento Alemán Cue;FONAVIS;20;;;ASOCIACION TEKOVERA;Arq. Ilse Coronel. adricoronel@gmail.com;No corresponde;;En ejecución;S/D;No corresponde;;INDERT;;;;
237;21K;7433187;528482;Concepción;Horqueta;;Comisión Arroyito Núcleo VII;FONAVIS;20;;;ASOCIACION TEKOVERA;Arq. Ilse Coronel. adricoronel@gmail.com;No corresponde;;En ejecución;S/D;No corresponde;;INDERT;;;;
238;21K;7433187;528482;Concepción;Horqueta;;Asentamiento Núcleo IV;FONAVIS;20;;;HABITAT PARA LA HUMANIDAD - PARAGUAY;Mary Lechenuk. 0981 491 993. mlisnichuk@habitat.org.py;No corresponde;;En ejecución;S/D;No corresponde;;INDERT;6/5/14;;;
239;21K;7524550;525550;Concepción;Sargento José Félix López;;La Suerte;FONAVIS;40;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;INDERT;28/3/14;;;
240;21K;7418167;550196;Concepción;Azotey;;Comunidad Indígena Vyapave;FONAVIS;102;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;35%;No corresponde;;Terreno comunitario;12/3/14;;;
241;21K;7462384;510757;Concepción;Jhugua Ñandu;;Comisión Vecinal Jhugua Ñandu;FONAVIS;17;;;LIC. NILSA TORRES;Lic. Nilsa Magdalena Torres.  Nilsacolman@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;INDERT;1/4/14;;;Coordenada aproximada de la construcción de las viviendas.
242;21K;7413954;524226;Concepción;Horqueta;;Comisión Vecinal Kurupay Loma II Etapa;FONAVIS;26;;;LIC. NILSA TORRES;Lic. Nilsa Magdalena Torres. Nilsacolman@hotmail.com;No corresponde;;En ejecución;90%;No corresponde;;INDERT;1/4/14;;;
243;21J;7205706;483764;Cordillera;Atyra;;La Candelaria - 1ra  Etapa;FONAVIS;30;;;CONSULTORA NOESIS;Fernando Javier Diaz. javier@sgpsa.com;No corresponde;;En ejecución;45%;No corresponde;;Propiedad de la SAS;31/7/13;;;
244;21J;7205706;483764;Cordillera;Atyra;;La Candelaria - 2ra  Etapa;FONAVIS;30;;;CONSULTORA NOESIS;Fernando Javier Diaz. javier@sgpsa.com;No corresponde;;En ejecución;45%;No corresponde;;Propiedad de la SAS;31/7/13;;;
245;21J;7170573;512065;Cordillera;Valenzuela;;San Jose;FONAVIS;40;;;CONTACONSULT;Lic. Jorge Andriotti. jorgeandriotti@yahoo.com ;No corresponde;;En ejecución;45%;No corresponde;;Propiedad privada (compra de terreno);15/7/13;;;
246;21J;7189420;520524;Cordillera;Santa Elena;;Sin Tierra Y Sin Techo San Jorge;FONAVIS;39;;;ING. BLAS DENIS;Ing. Blas Antonio Dennis. badesa@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad privada (compra de terreno);19/7/13;;;
247;21J;7203760;512478;Cordillera;Caraguatay;;San Pedro-Caraguatay;FONAVIS;74;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;40%;No corresponde;;Propiedad privada (compra de terreno);19/7/13;;;
248;21J;7146751;554687;Guairá;Villarrica;;Sinaí III;FONAVIS;12;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);;;;
249;21J;7126496;587505;Guairá;José Fassardi;;Ciudad Nueva;FONAVIS;48;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;En ejecución;20%;No corresponde;;Propiedad privada (compra de terreno);;;;
250;21J;7146572;554727;Guairá;Villarrica;;Sinaí I;FONAVIS;28;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;;;;
251;21J;7146775;554573;Guairá;Villarrica;;Sinaí II;FONAVIS;28;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);;;;
252;21J;7182483;475959;Paraguarí;Pirayú;;Comisión Vecinal Pro-Vivienda Pirayu;FONAVIS;45;;;COTEP S.A.;Julio Cesar Roman. tareascotepsa@gmail.com ;No corresponde;;En ejecución;70%;No corresponde;;Propiedad de la Municipalidad;5/12/13;;;
253;21J;7239694;445421;Presidente Hayes;Benjamín Aceval;;Comité De Productores Agropecuarios 12 De Junio;FONAVIS;30;;;COTEP S.A.;Julio Cesar Roman. tareascotepsa@gmail.com ;No corresponde;;Culminada;100%;No corresponde;;Propiedad privada (compra de terreno);31/1/13;;;
254;21J;7336299;480597;San Pedro;Puerto Antequera;;Laguna Vera;FONAVIS;35;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. 0971 423 949. sat_m.a@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la Municipalidad;26/7/13;;;
255;21K;7467841;194135;Boquerón;Mariscal Estigarribia;;Techo Y Agua Casuarina III;FONAVIS;71;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;En ejecución;20%;No corresponde;;Terreno comunitario;12/5/14;;;
256;21K;7545395;387697;Alto Paraguay;Puerto Casado;;Machete Vaina Y Castilla;FONAVIS;2;;;CODES;Arq. Alfonso Olmedo. 0992 283 352 - (021) 301-015.;No corresponde;;Culminada;100%;No corresponde;;;;;;
257;21J;7281588;698344;Alto Paraná;Itakyry;;Santa Lucia;FONAVIS;100;;;FREDDY DIOSNEL ROLON;Freddy Diosnel Rolon. 0981 458 666. fredydiosnelrolon@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;INDERT;9/7/14;;;
258;21J;7182832;550586;Caaguazú;Coronel Oviedo;;Asociación Multisectorial Yukyty (Amudic);FONAVIS;53;;;COEMPRO;Pedro Gamarra. (0521) 203 866. liliankarina1983@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);8/4/14;;;
259;21K;7430963;530494;Concepción;Horqueta;;Núcleo V;FONAVIS;20;;;HABITAT PARA LA HUMANIDAD - PARAGUAY;Mary Lechenuk. 0981 491 993. mlisnichuk@habitat.org.py;No corresponde;;En ejecución;S/D;No corresponde;;INDERT;6/5/14;;;
260;21J;7181289;724714;Alto Paraná;Minga Guazú;;Kaburei;FONAVIS;4;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad de los Beneficiarios;22/11/13;;;
261;21J;7183791;552369;Caaguazú;Coronel Oviedo;;Costa Azul;FONAVIS;19;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;En ejecución;20%;No corresponde;;Propiedad privada (compra de terreno);28/11/13;;;
262;21K;7407188;525664;Concepción;Azotey;;Comisión Vecinal Nueva Fortuna;FONAVIS;19;;;LIC. NILSA TORRES;Lic. Nilsa Magdalena Torres. 0981 616 590. Nilsacolman@hotmail.com;No corresponde;;En ejecución;70%;No corresponde;;INDERT;1/4/14;;;
263;21K;7409203;525211;Concepción;Azotey;;Kurusu De Hierro;FONAVIS;20;;;LIC. NILSA TORRES;Lic. Nilsa Magdalena Torres. 0981 616 590. Nilsacolman@hotmail.com;No corresponde;;En ejecución;60%;No corresponde;;INDERT;1/4/14;;;
264;21J;7193983;642380;Caaguazú;J. Eulogio Estigarribia;;Oga I Jaguary  I Etapa - Mbya Guaraní;FONAVIS;55;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Terreno comunitario;;;;
265;21J;7194224;445125;Central;San Lorenzo;;Acción Comunitaria;FONAVIS;8;;;INGENIERIA Y PROYECTOS PARAGUAY - IPP;Ing. Manuel Lombardo. ma-lombardo@hotmail.com ;No corresponde;;En ejecución;72%;No corresponde;;Propiedad privada (compra de terreno);28/7/11;;;
266;21J;7183029;464317;Central;Itá;;Conjunto Habitacional Caraguataity;FONAVIS;10;;;ARQUIDEC S.R.L.;Faustino Correa. arqudec_srl@yahoo.com ;No corresponde;;En ejecución;10%;No corresponde;;Propiedad privada (compra de terreno);19/11/13;;;
267;21J;7179964;458566;Central;Itá;;Cooperativa Hugua Ñaro - II Fase;FONAVIS;5;;;ARQUIDEC S.R.L.;Faustino Correa. arqudec_srl@yahoo.com ;No corresponde;;En ejecución;45%;No corresponde;;Propiedad privada (compra de terreno);21/3/13;;;
268;21J;7193880;456102;Central;Capiatá;;Don Antonio - Etapa I;FONAVIS;30;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;En ejecución;80%;No corresponde;;SENAVITAT;13/2/14;;;
269;21J;7189065;444419;Central;San Antonio;;Ita Poty;FONAVIS;41;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;En ejecución;40%;No corresponde;;Propiedad privada (compra de terreno);;;;
270;21J;6999793;391456;Ñeembucú;Desmochado;;Viviendas Barrio Cooperativo;FONAVIS;20;;;ARQ. OSVALDO GRANADA;;No corresponde;;En ejecución;20%;No corresponde;;;;;;
271;21J;7190191;444106;Central;San Antonio;;San Rafael II;FONAVIS;36;;;EMPRENDIMIENTOS INMOBILIARIOS;Cristhian Manuel Araujo. info@geo.com.py;No corresponde;;En ejecución;40%;No corresponde;;Propiedad privada (compra de terreno);26/7/14;;;
272;21J;7183637;557327;Caaguazú;Coronel Oviedo;;Villa Paraíso;FONAVIS;40;;;FREDDY DIOSNEL ROLON;Freddy Diosnel Rolon. fredydiosnelrolon@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad de la SAS;17/7/14;;;
273;21J;7182528;553461;Caaguazú;Coronel Oviedo;;San Jose;FONAVIS;24;;;COEMPRO;Pedro Gamarra. (0521) 203 866. liliankarina1983@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);6/5/14;;;
274;21J;7193146;466275;Central;Itauguá;;Tapy'i  Marangatu - Asentamiento Gaspar Rodríguez De Francia;FONAVIS;57;;;FUNDACION OJETYPEKA;Maria Lourdes Meaurio. fundacionjetypeka@hotmail.com;No corresponde;;En ejecución;45%;No corresponde;;Propiedad de la SAS;2/8/13;;;
275;21J;7200788;710618;Alto Paraná;Hernandarias;;Comunidad Indígena Akaraymi;FONAVIS;30;;;CODES;Arq. Alfonso Olmedo. (021) 301-015.;No corresponde;;En ejecución;S/D;No corresponde;;Terreno comunitario;;;;
276;21J;7186826;452486;Central;Capiatá;;Asentamiento Nueva Esperanza;FONAVIS;40;;;ARQ. REBECA ZELAYA GONZALEZ;Arq. Rebeca Zelaya. rebe_zegon@hotmail.com ;No corresponde;;En ejecución;50%;No corresponde;;Propiedad de la SAS;30/5/14;;;
277;21J;7217646;453691;Central;Limpio;;El Peñón;FONAVIS;24;;;ARQ. REBECA ZELAYA GONZALEZ;Arq. Rebeca Zelaya. rebe_zegon@hotmail.com ;No corresponde;;En ejecución;35%;No corresponde;;Propiedad de la SAS;21/4/14;;;
278;21J;7307868;622294;Canindeyú;Curuguaty;;Isla Jovai;FONAVIS;12;;;CODES;Arq. Alfonso Olmedo. (021) 301-015.;No corresponde;;En ejecución;S/D;No corresponde;;Terreno comunitario;;;;
279;21J;7183522;463264;Central;Itá;;Caaguazú II Etapa;FONAVIS;5;;;ARQUIDEC S.R.L.;Faustino Correa. arqudec_srl@yahoo.com ;No corresponde;;En ejecución;45%;No corresponde;;Propiedad privada (compra de terreno);21/2/13;;;
280;21J;7101726;564453;Caazapá;Caazapá;;San Rafael;FONAVIS;9;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;;;;
281;21J;7101726;564453;Caazapá;Caazapá;;San Rafael II Etapa;FONAVIS;23;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;En ejecución;40%;No corresponde;;Propiedad de la SAS;;;;
282;21J;7203102;450066;Central;Luque;;Mujeres Virtuosas;FONAVIS;19;;;CONTACONSULT;Lic. Jorge Andriotti. jorgeandriotti@yahoo.com ;No corresponde;;En ejecución;60%;No corresponde;;Propiedad de la SAS;10/5/14;;;
283;21J;7213992;447156;Central;Mariano Roque Alonso;;Comisión Vecinal Fomento Remansito Del Barrio Universo;FONAVIS;30;;;CEDES/HABITAT;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;En ejecución;10%;No corresponde;;Propiedad de la SAS;2/7/14;;;
284;21J;7172100;734901;Alto Paraná;Presidente Franco;;San Cayetano Km7 Monday;FONAVIS;10;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Municipal;20/6/12;;;
285;21J;7191715;734759;Alto Paraná;Hernandarias;;Virgen De Fátima;FONAVIS;30;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad Privada;9/7/12;;;
286;20K;7507318;748224;Boquerón;Mariscal Estigarribia;;Paraíso (Nivacle);FONAVIS;40;;;HABITAT PARA LA HUMANIDAD - PARAGUAY;Mary Lechenuk. mlisnichuk@habitat.org.py;No corresponde;;Culminada;100%;No corresponde;;Propiedad de los Beneficiarios;;;;
287;21K;7467841;194135;Boquerón;Mariscal Estigarribia;;Casuarina I (Nivacle);FONAVIS;46;;;CEDES/habitat;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Terreno comunitario;;;;
288;21J;7227960;641369;Caaguazú;Raúl Arsenio Oviedo;;Santa Teresa (Mbya Guaraní);FONAVIS;20;;;CEDES/habitat;Arq. Emma Gill. cedeshab@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Terreno Comunitario;19/11/12;;;
289;21J;7185194;554799;Caaguazú;Coronel Oviedo;;Fortaleza I;FONAVIS;14;;;VERONICA OJEDA CASTELLI;Abog. Veronica Ojeda. vojedacastelli@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;;;;
290;21J;7184345;558978;Caaguazú;Coronel Oviedo;;Sagrado Corazón De Jesús;FONAVIS;29;;;VERONICA OJEDA CASTELLI;Abog. Veronica Ojeda. vojedacastelli@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;4/2/13;;;
291;21J;7183871;558307;Caaguazú;Coronel Oviedo;;Siempre Verde 2;FONAVIS;23;;;ACG CONSULTORA INTEGRAL;Abog. Federico Cabral. (021) 528 973;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;9/1/13;;;
292;21J;7184778;557197;Caaguazú;Coronel Oviedo;;6 De Enero Poty;FONAVIS;10;;;ACG CONSULTORA INTEGRAL;Abog. Federico Cabral. (021) 528 973;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;20/11/12;;;
293;21J;7101950;564416;Caazapá;Caazapá;;Pbro. Adolfo Zaracho Cabral;FONAVIS;40;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;;;;
294;21J;7112131;607434;Caazapá;San Juan Nepomuceno;;8 De Diciembre;FONAVIS;45;;;LIC. MARIA MERCEDES ENRIQUEZ;Lic.Maria Mercedes Enrriquez. sat_m.a@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Municipal;8/8/12;;;
295;21J;7291814;631322;Canindeyú;Curuguaty;;Docentes Y Enfermeros;FONAVIS;18;;;ASOCIACION TEKOVERA;Arq. Ilse Coronel. adricoronel@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la Municipalidad;;;;
296;21J;7189224;442995;Central;San Antonio;;La Merced;FONAVIS;18;;;LINA M. CORONEL;Lina Mercedes Coronel ;No corresponde;;En ejecución;S/D;No corresponde;;;26/2/13;;;
297;21J;7210420;451284;Central;Luque;;Hogar De Niños Ntra. Sra. De La Asunción - Mora Cue Luque;FONAVIS;20;;;DANIELA RECALDE;Arq. Daniela Recalde. drarquitectura@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);30/5/11;;;
298;21J;7191677;442873;Central;San Antonio;;Conjunto Habitacional Tres Fronteras;FONAVIS;24;;;CONSULTORA AREA;Lic. Silvia Gonzalez. (021) 588 115;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad de la SAS;5/9/13;;;
299;21J;7217676;455419;Central;Limpio;;Santo Domingo;FONAVIS;20;;;CESARINA BARRETO DE ENCISO;Cesarina Barreto De Enciso. cesarinaenciso@hotmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad de la SAS;;;;
300;21J;7189385;485035;Central;J. A. Saldívar;;Sind. De Empleados Y Trab. Del Mercado 4;FONAVIS;38;;;ARQ. LILIANA ROJAS;Arq. Liliana Rojas. lrvconstructora@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad privada (compra de terreno);15/11/12;;;
301;21J;7078150;723610;Itapúa;Carlos Antonio López;;Joaju Rekavo 2° Fase;FONAVIS;11;;;VERONICA OJEDA CASTELLI;Abog. Veronica Ojeda. vojedacastelli@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad Privada;25/10/12;;;
302;21J;7112024;496981;Paraguarí;Ybycu'i;;Che Oro Cu'i;FONAVIS;38;;;CODEPA;Lic. Eusebio Veron. everonmar@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad Privada;;;;
303;21J;7149097;474570;Paraguarí;Carapeguá;;Bicentenario;FONAVIS;40;;;CODEPA;Lic. Eusebio Veron. everonmar@gmail.com;No corresponde;;Culminada;100%;No corresponde;;Propiedad Privada;16/8/14;;;
304;21J;7212364;452031;Central;Limpio;;Comisión Vecinal El Bosque;FONAVIS;10;;;ARQ. CARLOS RIVAS;Arq. Carlos Rivas. crivas60@hotmail.com;No corresponde;;En ejecución;S/D;No corresponde;;Propiedad de la SAS;;;;
